,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,META,META,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,,,,,,
2017-04-19 00:00:00-04:00,45.391998291015625,45.525001525878906,44.868499755859375,44.959999084472656,57404000,0.0,0.0,141.35000610351562,143.0399932861328,141.27000427246094,142.27000427246094,15563900,0.0,0.0,42.86949920654297,43.0099983215332,42.67649841308594,42.82550048828125,21606000,0.0,0.0
2017-04-20 00:00:00-04:00,44.98500061035156,45.26599884033203,44.81449890136719,45.10300064086914,56288000,0.0,0.0,142.9499969482422,144.25,142.69000244140625,143.8000030517578,15968200,0.0,0.0,42.98699951171875,43.19649887084961,42.875,43.00400161743164,23776000,0.0,0.0
2017-04-21 00:00:00-04:00,45.13349914550781,45.182498931884766,44.8385009765625,44.92649841308594,48410000,0.0,0.0,143.89999389648438,144.1699981689453,142.27000427246094,143.67999267578125,12382000,0.0,0.0,43.03099822998047,43.12200164794922,42.88650131225586,42.9474983215332,23458000,0.0,0.0
2017-04-24 00:00:00-04:00,45.433998107910156,45.4995002746582,45.191001892089844,45.37049865722656,62458000,0.0,0.0,144.9600067138672,145.6699981689453,144.33999633789062,145.47000122070312,14407200,0.0,0.0,43.422000885009766,43.99800109863281,43.30550003051758,43.94649887084961,33930000,0.0,0.0
2017-04-25 00:00:00-04:00,45.35200119018555,45.4739990234375,45.150001525878906,45.38100051879883,67612000,0.0,0.0,145.7899932861328,147.14999389648438,145.7899932861328,146.49000549316406,17767500,0.0,0.0,44.112998962402344,44.61249923706055,43.9640007019043,44.44200134277344,40760000,0.0,0.0
2017-04-26 00:00:00-04:00,45.51499938964844,45.787498474121094,45.37799835205078,45.464500427246094,52178000,0.0,0.0,147.08999633789062,147.58999633789062,146.08999633789062,146.55999755859375,12395000,0.0,0.0,44.56949996948242,44.64950180053711,44.25749969482422,44.457000732421875,26466000,0.0,0.0
2017-04-27 00:00:00-04:00,45.71950149536133,46.09299850463867,45.605499267578125,45.91899871826172,106110000,0.0,0.0,146.6699981689453,147.75,146.13999938964844,147.6999969482422,11275100,0.0,0.0,44.5,44.66899871826172,44.35900115966797,44.571998596191406,46846000,0.0,0.0
2017-04-28 00:00:00-04:00,47.44150161743164,47.47949981689453,46.21649932861328,46.2495002746582,147294000,0.0,0.0,149.5,151.52999877929688,149.07000732421875,150.25,30652200,0.0,0.0,46.45000076293945,46.79499816894531,46.1609992980957,46.22600173950195,76918000,0.0,0.0
2017-05-01 00:00:00-04:00,46.38999938964844,47.720001220703125,46.38999938964844,47.4114990234375,109330000,0.0,0.0,151.74000549316406,152.57000732421875,151.4199981689453,152.4600067138672,25218300,0.0,0.0,46.20750045776367,46.79100036621094,46.040000915527344,46.64099884033203,46556000,0.0,0.0
2017-05-02 00:00:00-04:00,47.33250045776367,47.505001068115234,47.070499420166016,47.34700012207031,76976000,0.0,0.0,153.33999633789062,153.44000244140625,151.66000366210938,152.77999877929688,21870400,0.0,0.0,46.66350173950195,47.14950180053711,46.54999923706055,46.85449981689453,35026000,0.0,0.0
2017-05-03 00:00:00-04:00,47.29999923706055,47.29999923706055,46.79499816894531,47.05149841308594,71654000,0.0,0.0,153.60000610351562,153.60000610351562,151.33999633789062,151.8000030517578,29782500,0.0,0.0,46.8025016784668,47.5099983215332,46.760501861572266,47.42250061035156,36496000,0.0,0.0
2017-05-04 00:00:00-04:00,47.23749923706055,47.25,46.71099853515625,46.87649917602539,48368000,0.0,0.0,150.1699981689453,151.52000427246094,148.72000122070312,150.85000610351562,36225500,0.0,0.0,47.51449966430664,47.957000732421875,47.368499755859375,47.736000061035156,38752000,0.0,0.0
2017-05-05 00:00:00-04:00,47.0260009765625,47.03950119018555,46.51499938964844,46.70750045776367,57328000,0.0,0.0,151.4499969482422,151.6300048828125,149.7899932861328,150.24000549316406,17148500,0.0,0.0,47.83599853515625,47.922000885009766,47.404998779296875,47.513999938964844,32310000,0.0,0.0
2017-05-08 00:00:00-04:00,47.04750061035156,47.45249938964844,46.96049880981445,47.45199966430664,68314000,0.0,0.0,150.7100067138672,151.0800018310547,149.74000549316406,151.05999755859375,15827500,0.0,0.0,47.372501373291016,48.04949951171875,47.369998931884766,47.93450164794922,37534000,0.0,0.0
2017-05-09 00:00:00-04:00,47.63999938964844,47.894500732421875,47.5099983215332,47.64099884033203,65242000,0.0,0.0,151.49000549316406,152.58999633789062,150.2100067138672,150.47999572753906,17453900,0.0,0.0,48.06650161743164,48.11000061035156,47.720001220703125,47.83549880981445,33758000,0.0,0.0
2017-05-10 00:00:00-04:00,47.67499923706055,47.6875,47.25,47.4474983215332,41930000,0.0,0.0,150.22999572753906,150.52000427246094,148.86000061035156,150.2899932861328,12080700,0.0,0.0,47.81100082397461,47.83549880981445,47.492000579833984,47.742000579833984,22920000,0.0,0.0
2017-05-11 00:00:00-04:00,47.25550079345703,47.51449966430664,47.03900146484375,47.38100051879883,43882000,0.0,0.0,150.30999755859375,150.64999389648438,149.41000366210938,150.0399932861328,11841900,0.0,0.0,47.56449890136719,47.89950180053711,47.43050003051758,47.794498443603516,20622000,0.0,0.0
