Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average_Crossover,RSI,MACD_Crossover,MACD_Divergence
0.02373423757577886,0.02116148222621078,0.02235191620037169,0.0196652684378118,0.1358990544323087,0.0,0.0,0.0,1.0,1.0,0.5275429738529454
0.022374933395434116,0.018715945820083846,0.021566112162914763,0.017541077659798288,0.10040997978793269,0.0,0.0,0.0,1.0,1.0,0.5218402842284764
0.0183693259440717,0.015596638913341287,0.017808183078831474,0.013535262103600565,0.14622187366501527,0.0,0.0,0.0,1.0,1.0,0.5131522375993155
0.017010048018298363,0.01813108066786473,0.018859430126737187,0.019537045538719544,0.1258249010118786,0.0,0.0,0.0,0.5,1.0,0.5004236645984586
0.021652276317287,0.02060396453660379,0.023497461864416647,0.020157327117792168,0.13503828815904412,0.0,0.0,0.0,1.0,1.0,0.49954870261733325
0.024009516757045823,0.020908387722513244,0.022306512176099025,0.018570244879563935,0.1268131882145157,0.0,0.0,0.0,0.5,1.0,0.4987528079480613
0.02120836402383336,0.019136647911909,0.02192931771154233,0.019561315357558007,0.12325535428502203,0.0,0.0,0.0,0.5,1.0,0.4950092214260339
0.022230401979804693,0.018565456490995946,0.022096971538258237,0.01833806890021794,0.0981401072451016,0.0,0.0,0.0,0.5,0.0,0.4931506836850647
0.02429857958830467,0.020733943268732624,0.024559180615103593,0.021415206976742762,0.14292545764073528,0.0,0.0,0.0,0.5,0.0,0.4895353409351049
0.02373423757577886,0.020559498814952004,0.02427279419909234,0.021487989995547074,0.1593565293903862,0.0,0.0,0.0,0.5,0.0,0.4909205124763151
0.024856069157691618,0.02270403046799596,0.025865345679568663,0.022066685054976054,0.11015257879199424,0.0,0.0,0.0,0.5,0.0,0.49125252578135575
0.026263550476579522,0.024793841100908653,0.027454433238005338,0.025216579712594056,0.28208904786498085,0.0,0.0,0.0,0.5,0.0,0.4916083795872004
0.03811517906733519,0.03427837431025288,0.03172225164631559,0.027507116569182477,0.41338459674694106,0.0,0.0,0.0,0.5,1.0,0.4954950916220479
0.030878237730155744,0.035923553821554766,0.032934144740195626,0.03556033420122168,0.29235448267946973,0.0,0.0,0.0,0.5,1.0,0.5002093483425323
